geo_id,inv_stop_count
1400000US17031081402,6.0
1400000US17031081403,11.0
1400000US17031081500,34.0
1400000US17031081600,31.0
1400000US17031081700,31.0
1400000US17031081800,38.0
1400000US17031081900,25.0
1400000US17031090100,6.0
1400000US17031090200,16.0
1400000US17031090300,10.0
1400000US17031100100,32.0
1400000US17031100200,41.0
1400000US17031100300,10.0
1400000US17031100400,10.0
1400000US17031100500,48.0
1400000US17031100600,31.0
1400000US17031100700,34.0
1400000US17031110100,43.0
1400000US17031110200,28.0
1400000US17031110300,44.0
1400000US17031110400,28.0
1400000US17031110501,37.0
1400000US17031110502,28.0
1400000US17031120100,31.0
1400000US17031120200,35.0
1400000US17031120300,35.0
1400000US17031120400,38.0
1400000US17031130100,20.0
1400000US17031130200,35.0
1400000US17031130300,26.0
1400000US17031140100,18.0
1400000US17031140200,39.0
1400000US17031140301,43.0
1400000US17031140302,17.0
1400000US17031140400,51.0
1400000US17031140500,43.0
1400000US17031140601,43.0
1400000US17031140602,30.0
1400000US17031140701,39.0
1400000US17031140702,32.0
1400000US17031140800,19.0
1400000US17031150200,47.0
1400000US17031150300,65.0
1400000US17031150401,40.0
1400000US17031150402,43.0
1400000US17031150501,41.0
1400000US17031150502,53.0
1400000US17031150600,27.0
1400000US17031150700,37.0
1400000US17031150800,35.0
1400000US17031151001,37.0
1400000US17031151002,38.0
1400000US17031151100,37.0
1400000US17031151200,38.0
1400000US17031160100,42.0
1400000US17031160200,26.0
1400000US17031160300,34.0
1400000US17031160400,26.0
1400000US17031160501,23.0
1400000US17031160502,34.0
1400000US17031160601,10.0
1400000US17031160602,37.0
1400000US17031160700,49.0
1400000US17031160800,42.0
1400000US17031160900,34.0
1400000US17031161000,34.0
1400000US17031161100,26.0
1400000US17031161200,39.0
1400000US17031161300,32.0
1400000US17031170100,50.0
1400000US17031170200,37.0
1400000US17031170300,34.0
1400000US17031170400,32.0
1400000US17031170500,29.0
1400000US17031170600,9.0
1400000US17031170700,9.0
1400000US17031170800,30.0
1400000US17031170900,20.0
1400000US17031171000,45.0
1400000US17031171100,36.0
1400000US17031180100,32.0
1400000US17031190100,28.0
1400000US17031190200,50.0
1400000US17031190300,52.0
1400000US17031190401,49.0
1400000US17031190402,49.0
1400000US17031190601,45.0
1400000US17031190602,34.0
1400000US17031190701,27.0
1400000US17031190702,49.0
