geo_id,police_stations,fire_stations,public_schools,parks,commercial_establishments,number_of_police_killings,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
1400000US17031030103,1,2,18,12,24.0,0.0,0.0,15.0,48.0,22.0,0.0,1.0,25.0,0.0,11.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,2.0,8.0,3.0,0.0,82.0,0.0
1400000US17031030104,1,2,19,12,6.0,0.0,0.0,16.0,46.0,9.0,0.0,4.0,17.0,1.0,9.0,40.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,3.0,,0.0,,0.0,0.0,0.0,37.0,0.0,0.0,0.0,8.0,4.0,1.0,73.0,1.0
1400000US17031030200,2,4,24,13,95.0,0.0,0.0,80.0,186.0,101.0,0.0,8.0,155.0,0.0,50.0,117.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,69.0,17.0,,0.0,,0.0,7.0,0.0,54.0,1.0,0.0,4.0,71.0,6.0,0.0,448.0,8.0
1400000US17031030300,2,4,28,15,52.0,0.0,0.0,37.0,76.0,29.0,0.0,5.0,62.0,0.0,18.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,8.0,,0.0,,1.0,6.0,0.0,24.0,0.0,0.0,1.0,11.0,2.0,0.0,123.0,0.0
1400000US17031030400,2,5,28,13,53.0,0.0,0.0,50.0,93.0,18.0,0.0,2.0,74.0,1.0,17.0,50.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,25.0,9.0,,0.0,,0.0,3.0,0.0,39.0,0.0,0.0,0.0,14.0,2.0,1.0,135.0,2.0
1400000US17031030500,2,5,25,13,63.0,0.0,0.0,107.0,300.0,69.0,0.0,14.0,171.0,0.0,56.0,115.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,48.0,43.0,,0.0,,1.0,9.0,0.0,78.0,0.0,0.0,11.0,37.0,10.0,0.0,378.0,8.0
1400000US17031030601,2,3,19,12,6.0,0.0,0.0,48.0,133.0,32.0,0.0,13.0,84.0,3.0,23.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,6.0,,0.0,,1.0,5.0,0.0,44.0,0.0,0.0,1.0,15.0,3.0,0.0,160.0,5.0
1400000US17031030603,2,3,20,12,19.0,0.0,0.0,60.0,135.0,40.0,0.0,9.0,50.0,0.0,36.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,7.0,,0.0,,0.0,1.0,0.0,39.0,0.0,1.0,5.0,33.0,1.0,0.0,222.0,2.0
1400000US17031030604,1,3,20,12,17.0,0.0,1.0,41.0,120.0,14.0,0.0,6.0,40.0,1.0,8.0,42.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,10.0,9.0,,0.0,,0.0,4.0,0.0,42.0,0.0,0.0,9.0,10.0,0.0,0.0,87.0,1.0
1400000US17031030701,2,3,21,12,42.0,0.0,0.0,24.0,67.0,13.0,0.0,6.0,35.0,0.0,7.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,5.0,,0.0,,0.0,4.0,0.0,28.0,0.0,0.0,0.0,10.0,5.0,1.0,87.0,0.0
1400000US17031030702,2,3,21,13,7.0,0.0,0.0,10.0,39.0,3.0,0.0,0.0,10.0,1.0,5.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,,0.0,,0.0,1.0,0.0,18.0,0.0,0.0,1.0,4.0,1.0,1.0,35.0,0.0
